"","pair","perc_profitability","avg_profit","total_profit","avg_holding","count"
"535","ORIENTBANK.NS-UNIONBANK.NS",0.625,4754.12162877945,38032.9730302356,14.875,8
"536","PAGEIND.NS-RAYMOND.NS",0.636363636363636,4820.39030247964,106048.586654552,19.0454545454545,22
"537","PAGEIND.NS-SRF.NS",0.705882352941177,19227.4199124056,326866.138510895,33.7647058823529,17
"538","PCJEWELLER.NS-SINTEX.NS",0.625,2271.81606027858,18174.5284822286,16.25,8
"539","PCJEWELLER.NS-TITAN.NS",0.533333333333333,-5200.45462397168,-78006.8193595752,18.2666666666667,15
"540","PCJEWELLER.NS-VOLTAS.NS",0.714285714285714,18122.4282818754,380570.993919383,32.2857142857143,21
"541","PEL.NS-STAR.NS",0.5,-10694.9545486076,-149729.363680506,36.2142857142857,14
"542","PEL.NS-SUNPHARMA.NS",0.785714285714286,18613.6304256672,260590.82595934,28.7857142857143,14
"543","PEL.NS-TORNTPHARM.NS",0.65,8812.21456374253,176244.291274851,33.25,20
"544","PFC.NS-PNB.NS",0.2,-69927.196252134,-349635.98126067,48.4,5
"545","PFC.NS-RECLTD.NS",0.7,8577.79917786004,85777.9917786004,37.1,10
"546","PFC.NS-SBIN.NS",0.722222222222222,8732.37883168061,157182.818970251,39.5555555555556,18
"547","PFC.NS-SOUTHBANK.NS",0.777777777777778,20189.4690772339,363410.443390211,56.0555555555556,18
"548","PFC.NS-SYNDIBANK.NS",0.722222222222222,34609.9587850414,622979.258130745,18.8888888888889,18
"549","PFC.NS-UNIONBANK.NS",0.823529411764706,44081.6864709985,749388.670006974,30.1176470588235,17
"550","PIDILITIND.NS-TATACHEM.NS",0.727272727272727,17548.2228247522,193030.451072274,29.5454545454545,11
"551","PNB.NS-RECLTD.NS",0.7,16478.8068858799,164788.068858799,14.2,10
"552","PNB.NS-SBIN.NS",0.666666666666667,2426.93749937542,21842.4374943788,41.6666666666667,9
"553","PNB.NS-SOUTHBANK.NS",0.666666666666667,41562.3521625856,249374.112975513,31.8333333333333,6
"554","PNB.NS-SYNDIBANK.NS",0.75,27364.3504100802,218914.803280641,41.375,8
"555","PNB.NS-UNIONBANK.NS",0.692307692307692,9734.09870531423,126543.283169085,18.9230769230769,13
"556","POWERGRID.NS-RELINFRA.NS",0.666666666666667,15682.2089217074,141139.880295367,40,9
"557","POWERGRID.NS-RPOWER.NS",0.333333333333333,-27797.8039815395,-166786.823889237,32.5,6
"558","POWERGRID.NS-SUZLON.NS",0.4,-46015.7949385214,-460157.949385214,24,10
"559","POWERGRID.NS-TATAPOWER.NS",0.636363636363636,-8936.12645604685,-98297.3910165154,57.3636363636364,11
"560","POWERGRID.NS-TORNTPOWER.NS",0.692307692307692,16418.0182103472,213434.236734514,33.7692307692308,13
"561","PVR.NS-SUNTV.NS",0.64,7513.70449476547,187842.612369137,24.96,25
"562","PVR.NS-TV18BRDCST.NS",0.636363636363636,8777.93207341735,96557.2528075909,43.0909090909091,11
"563","PVR.NS-ZEEL.NS",0.583333333333333,-4599.13976132198,-55189.6771358637,41.8333333333333,12
"564","RAYMOND.NS-SRF.NS",0.6,2472.36690899345,37085.5036349018,28.4666666666667,15
"565","RCOM.NS-TATACOMM.NS",0.857142857142857,33537.1666695735,234760.166687015,10,7
"566","RECLTD.NS-SBIN.NS",0.5,-14984.9626464476,-239759.402343161,39.4375,16
"567","RECLTD.NS-SOUTHBANK.NS",0.769230769230769,27427.6718290409,356559.733777531,39.1538461538462,13
"568","RECLTD.NS-SYNDIBANK.NS",0.714285714285714,13793.4500756501,193108.301059102,13.0714285714286,14
"569","RECLTD.NS-UNIONBANK.NS",0.5625,-19029.6285248398,-304474.056397436,20,16
"570","RELINFRA.NS-RPOWER.NS",0.642857142857143,2435.90204889612,34102.6286845457,32.2142857142857,14
"571","RELINFRA.NS-SUZLON.NS",0.428571428571429,-57826.7394457199,-404787.17612004,44.4285714285714,7
