"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg","Alpha","beta","alpha.monthly","beta.monthly"
"CUMMINSIND.NS",0.138085597965044,0.277427249606152,0.246150924989207,0.253452905402789,32,28,0.0825313416277855,0.801687378736416,-0.166162666176357,1.08607550138307
"DABUR.NS",0.191036694153237,0.194849161768193,0.622225259763727,0.591226202553957,38,22,0.145289477200468,0.611454366044963,0.144999427028158,0.418634165704641
"DCBBANK.NS",0.237023724675546,0.390598739431713,0.428130160024502,0.408324129535178,30,28,0.118174919844569,1.29579470594312,0.09371515653884,1.66182154962842
"DISHTV.NS",-0.0708964310925311,0.384776189044242,-0.365649068096654,-0.350452769420258,27,33,-0.132767729476076,1.23155740769801,-0.288605802016587,1.16182611560453
"DIVISLAB.NS",0.210044543568576,0.341585981294052,0.410578675330841,0.341289228875158,37,23,0.171964341770297,0.74461878674691,-0.077849680291407,-0.261837603929149
"DLF.NS",0.0382714296827669,0.491238514546756,-0.0641749236694077,-0.0689216827410744,28,32,-0.0808446980253076,2.01043230707123,0.0447156338153867,2.62418802314866
"DRREDDY.NS",0.0103837243836835,0.288605260028143,-0.205862150495113,-0.186717457544699,29,31,-0.0171789433187428,0.582257814517528,-0.161229857989561,-0.216130651857451
"EICHERMOT.NS",0.338261782601678,0.277779820883533,0.966467462936991,1.09709206934885,38,22,0.278264304059371,1.00185055068894,-0.0905996272048595,1.57575132646936
"ASHOKLEY.NS",0.383696446204008,0.389155578020482,0.806617815793477,1.12858425909939,35,25,0.297480265858115,1.35024790910817,0.0725638664293152,1.62484333780446
"APOLLOTYRE.NS",0.218918113314665,0.368311641291564,0.404878566787789,0.437291680795751,31,29,0.133538853225043,1.30734273593892,0.0243244477959329,0.896312306920437
"ENGINERSIN.NS",0.104772814652803,0.411387042939495,0.0850201565552677,0.0877441815770664,31,29,-0.000582038419350418,1.30422384324366,0.324821485619322,0.430925952863849
"EXIDEIND.NS",0.162631596568677,0.245396584531576,0.378305887543654,0.362517123026542,32,28,0.078421978571616,0.966409578691597,-0.00256780786416047,1.10400828244472
"FEDERALBNK.NS",0.156788169492818,0.337147932971303,0.258021886324137,0.278157276953338,31,29,0.0549472372409149,1.29816640703398,0.0310634250349763,1.88453026551209
"GRANULES.NS",0.373010465151118,0.451582770650197,0.671446877517642,0.714809180496927,36,24,0.305904638270398,1.24036533196176,-0.218979143529578,2.23798559089189
"HAVELLS.NS",0.314302611509769,0.303003944664189,0.806939948994623,0.987291261423057,31,29,0.237605642070571,0.987603924086223,-0.0229238544709206,1.65101872401818
"HEXAWARE.NS",0.227036949806368,0.332400976080824,0.473044116184714,0.508442023780861,34,26,0.173195085106427,1.00208004339019,0.498836919242348,-0.0579551921930678
"HINDPETRO.NS",0.368787287337409,0.352211192274682,0.848895975023287,0.971002212737551,36,24,0.290031922398573,1.32934007535048,0.185067791277068,1.09030354149761
"HINDUNILVR.NS",0.227531282604691,0.191305173560774,0.824518520913411,1.01370487297691,35,25,0.18449514532157,0.545037598107216,0.267579022800305,0.716998492625705
"HINDZINC.NS",0.225520572750089,0.267509958235467,0.582123932581753,0.575467021292457,36,24,0.149582165394145,0.995283447427685,0.292639679525119,0.0926554337339768
"ICIL.NS",0.411825709915502,0.59099158043607,0.578737662905204,0.733170884411232,32,28,0.360303868032953,1.47385991068551,-0.341419330658215,1.35915023903428
"IDBI.NS",-0.00809541914438883,0.447965809799476,-0.173879437443081,-0.161654243850394,30,30,-0.102842564450299,1.5222444762276,-0.351565001559132,1.4984749142532
"BRITANNIA.NS",0.391001881303499,0.228426000236557,1.40616767405454,1.36146485261966,43,17,0.334415174429136,0.655058085825442,0.143548127356285,0.807895390495686
"IDEA.NS",-0.27990813713444,0.393443927248923,-0.888829987634979,-0.861438393575707,22,38,-0.295575058478847,0.877443259707837,-0.033821672612562,1.76450404149316
"INDUSINDBK.NS",0.263061743424906,0.252911998975123,0.764159550953683,0.736126794060972,39,21,0.162279543162124,1.08559964183087,0.0779560331680068,1.13069029371092
