"Stock","Avg","Stdev","Sharpe","Sortino","Pos","Neg"
"HDIL.NS",-0.4617716597842,0.567445427389712,-0.936774283452647,-1.07578866248565,11,12
"DALMIABHA.NS",0.17677700296241,0.434531849886854,0.246196864816672,0.361119304386298,15,8
"IBULHSGFIN.NS",0.251706205702867,0.319488777900964,0.569377062445609,0.96854150577334,12,11
"INDIACEM.NS",-0.0650804379518145,0.46569099053161,-0.289627810181862,-0.40442604787167,10,13
"JPASSOCIAT.NS",0.0674900980247177,0.850535621993888,-0.00271185094770435,-0.00447603830862378,10,13
"MFSL.NS",-0.112248927417371,0.277381190448641,-0.65630099496006,-0.856136725768207,9,14
"MOTHERSUMI.NS",0.191443157316993,0.260809324574664,0.466419418316809,0.707568898213862,14,9
"FORTIS.NS",-0.0679753163291499,0.392194893905038,-0.351284380106659,-0.464601574522563,11,12
"GODFRYPHLP.NS",-0.191695046823022,0.406931293596128,-0.642594154825127,-0.705138663544557,10,13
"GSFC.NS",0.240820889688273,0.43933169660612,0.389282783719394,0.635147104514934,13,10
"KTKBANK.NS",-0.082075214782739,0.326149700746931,-0.465650706691462,-0.622696571842401,10,13
"HCLTECH.NS",0.157354206563175,0.196049018166185,0.446610666683759,0.639224810651323,14,9
"IBREALEST.NS",0.269115687042958,0.535575084331537,0.37215895402314,0.707984645279814,13,10
"M&M.NS",0.17472689415076,0.210972747044615,0.497364099218424,0.798710807682329,14,9
"IDFC.NS",-0.116277357295908,0.318903596276604,-0.583480347433253,-0.748607589101656,11,12
"IFCI.NS",-0.218536924006949,0.421192325815025,-0.684565055420441,-0.850809503030462,10,13
"NCC.NS",0.0958122866140392,0.387419152997373,0.0671512044654578,0.101358405090063,12,11
"NTPC.NS",0.100035419515644,0.14143781266721,0.213795696413341,0.369724277084791,11,12
"IRB.NS",-0.102944848942438,0.375870745899513,-0.459576795172821,-0.612034891039799,10,13
"RCOM.NS",-0.476378979804891,1.07011261882313,-0.510390770144207,-0.801731774752804,8,15
"RELCAPITAL.NS",-0.0781885324463249,0.513184351001294,-0.288366463269707,-0.374811316177574,11,12
"SUNTV.NS",0.230848139267652,0.3901689879269,0.41277374777041,0.669394647190338,14,9
"TCS.NS",0.302305952139083,0.252891698473628,0.919402770771657,2.05305893391007,11,12
"M&MFIN.NS",0.161535848714248,0.288050734585371,0.318482870696449,0.468430284879084,12,11
"GAIL.NS",0.318153867024022,0.239672505850585,1.0362358514396,1.97053267482678,13,10
"NIITTECH.NS",0.644976061874978,0.368712996869932,1.55996518403337,4.94301034232109,14,9
"OIL.NS",0.0773928312556534,0.261955368948898,0.0289980977631998,0.0455702458304407,11,12
"MRPL.NS",0.0107105320365853,0.332758832630956,-0.177564307920932,-0.260820651457555,8,15
"PEL.NS",0.297988794242314,0.297962334288447,0.765842336850975,1.60945448619845,14,9
"PFC.NS",-0.127872075085936,0.312814846124147,-0.631903189354271,-0.765762420524897,11,12
"MUTHOOTFIN.NS",0.104420559947882,0.29842415121429,0.116022567039962,0.152056761071213,14,9
"PIDILITIND.NS",0.284330507165675,0.233515198817769,0.918714860508138,1.54086923191473,15,8
"ONGC.NS",0.0583021349048207,0.244196571327686,-0.0470706402221884,-0.0667765467915226,12,11
"PNB.NS",-0.262331962717051,0.598175123503433,-0.55523637397205,-0.709160386227103,8,15
"PVR.NS",0.0760874649251008,0.360164598474712,0.0174665724906451,0.0258459358863934,11,12
"SAIL.NS",0.284351954905478,0.422117250724738,0.508283730835041,1.10707830522544,9,14
"SBIN.NS",0.113637910621113,0.283539240137737,0.15462158515533,0.237276790582628,11,12
"SHREECEM.NS",0.0601520729142735,0.23117874118475,-0.041719021799228,-0.0608164857824358,11,12
"RELINFRA.NS",-0.0807833623809669,0.357544623287313,-0.421150190579829,-0.564592516148906,10,13
